Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.005,1.024,1.044,0.003,0.003,0.004,0.010,0.000
pmed2,100,10,1.008,1.070,1.114,0.003,0.003,0.004,0.030,0.000
pmed3,100,10,1.003,1.034,1.068,0.003,0.004,0.005,0.023,0.001
pmed4,100,20,1.054,1.096,1.147,0.004,0.005,0.009,0.026,0.001
pmed5,100,33,1.289,1.349,1.443,0.003,0.004,0.006,0.042,0.001
pmed6,200,5,1.002,1.024,1.055,0.004,0.005,0.005,0.016,0.000
pmed7,200,10,1.017,1.050,1.082,0.005,0.006,0.007,0.020,0.001
pmed8,200,20,1.089,1.133,1.183,0.005,0.006,0.007,0.031,0.001
pmed9,200,40,1.076,1.192,1.245,0.008,0.009,0.012,0.052,0.001
pmed10,200,67,1.360,1.468,1.593,0.005,0.009,0.013,0.076,0.002
pmed11,300,5,1.000,1.009,1.037,0.005,0.006,0.007,0.012,0.001
pmed12,300,10,1.005,1.016,1.044,0.007,0.008,0.009,0.011,0.001
pmed13,300,30,1.042,1.126,1.225,0.006,0.010,0.013,0.054,0.002
pmed14,300,60,1.248,1.335,1.396,0.007,0.009,0.013,0.048,0.002
pmed15,300,100,1.260,1.422,1.626,0.007,0.012,0.017,0.095,0.003
pmed16,400,5,1.000,1.006,1.022,0.007,0.007,0.009,0.007,0.001
pmed17,400,10,1.001,1.031,1.055,0.008,0.009,0.010,0.015,0.001
pmed18,400,40,1.072,1.092,1.113,0.011,0.015,0.019,0.014,0.002
pmed19,400,80,1.127,1.165,1.208,0.014,0.019,0.025,0.026,0.003
pmed20,400,133,1.305,1.443,1.505,0.012,0.017,0.022,0.059,0.003
pmed21,500,5,1.000,1.003,1.024,0.008,0.009,0.010,0.007,0.000
pmed22,500,10,1.005,1.026,1.072,0.009,0.011,0.012,0.021,0.001
pmed23,500,50,1.092,1.127,1.170,0.014,0.017,0.019,0.024,0.002
pmed24,500,100,1.180,1.220,1.249,0.018,0.023,0.033,0.021,0.004
pmed25,500,167,1.441,1.568,1.682,0.012,0.017,0.023,0.084,0.004
pmed26,600,5,1.000,1.006,1.018,0.009,0.011,0.013,0.006,0.001
pmed27,600,10,1.000,1.013,1.040,0.011,0.013,0.018,0.011,0.002
pmed28,600,60,1.125,1.166,1.216,0.015,0.019,0.025,0.030,0.002
pmed29,600,120,1.260,1.295,1.320,0.018,0.026,0.061,0.017,0.012
pmed30,600,200,1.395,1.450,1.503,0.024,0.029,0.033,0.036,0.003
pmed31,700,5,1.000,1.004,1.011,0.011,0.013,0.014,0.005,0.001
pmed32,700,10,1.002,1.008,1.015,0.014,0.015,0.018,0.004,0.001
pmed33,700,70,1.087,1.118,1.152,0.026,0.032,0.037,0.021,0.004
pmed34,700,140,1.245,1.359,1.478,0.017,0.029,0.044,0.091,0.010
pmed35,800,5,1.000,1.005,1.021,0.012,0.014,0.018,0.007,0.002
pmed36,800,10,1.002,1.008,1.019,0.015,0.019,0.023,0.006,0.003
pmed37,800,80,1.096,1.115,1.151,0.032,0.039,0.049,0.016,0.004
pmed38,900,5,1.004,1.012,1.024,0.014,0.016,0.018,0.007,0.001
pmed39,900,10,1.000,1.013,1.031,0.017,0.020,0.022,0.010,0.001
pmed40,900,90,1.073,1.098,1.149,0.041,0.054,0.070,0.022,0.007
